t,x,y
0.0,279,257
0.06666699999999999,276,235
0.13333399999999998,291,323
0.20000099999999998,299,351
0.26666799999999996,283,288
0.333335,276,237
0.40000199999999997,282,284
0.466669,298,349
0.5333359999999999,289,315
0.600003,278,254
0.66667,278,257
0.733337,293,332
0.8000039999999999,293,333
0.866671,281,277
0.933338,277,248
1.000005,286,303
1.0666719999999998,296,340
1.1333389999999999,285,300
1.200006,278,254
1.266673,281,277
1.33334,293,333
1.400007,290,319
1.466674,280,269
1.5333409999999998,279,260
1.6000079999999999,289,315
1.666675,292,330
1.733342,283,288
1.800009,278,258
1.866676,284,292
1.9333429999999998,293,330
2.00001,287,307
2.066677,279,266
2.1333439999999997,280,274
2.200011,290,321
2.2666779999999997,290,320
2.333345,282,280
2.400012,279,265
2.466679,286,303
2.533346,291,325
2.6000129999999997,284,296
2.66668,279,266
2.7333469999999997,283,287
2.800014,291,322
2.866681,288,310
2.933348,281,275
3.000015,280,274
3.0666819999999997,288,311
3.133349,290,318
3.2000159999999997,283,288
3.266683,280,270
3.33335,285,297
3.4000169999999996,290,320
3.466684,285,300
3.5333509999999997,280,273
3.600018,282,283
3.6666849999999998,289,315
3.733352,288,310
3.800019,282,282
3.8666859999999996,281,275
3.933353,286,305
4.00002,289,316
4.066687,284,292
4.133354,281,274
4.200021,284,293
4.266687999999999,289,316
4.333355,286,302
4.400022,281,278
4.466689,282,283
4.5333559999999995,287,310
4.600023,285,301
4.66669,289,313
4.733357,281,277
4.800024,284,290
4.866690999999999,286,303
4.933358,287,306
5.000025,283,289
5.066692,281,279
5.133359,288,311
5.200025999999999,281,280
5.266693,286,304
5.33336,282,283
5.400027,286,303
5.4666939999999995,284,292
5.533360999999999,284,295
5.600028,285,299
5.666695,283,288
5.733362,286,304
5.800028999999999,283,284
5.866696,284,294
5.933363,287,307
6.00003,283,288
6.066697,286,304
6.133363999999999,285,299
6.200031,285,295
6.266698,283,284
6.333365,287,305
6.4000319999999995,283,287
6.466698999999999,286,302
6.533366,284,291
6.600033,286,305
6.6667,284,292
6.733366999999999,283,289
6.800033999999999,285,300
6.866701,286,304
6.933368,283,286
7.000035,286,304
7.066701999999999,285,297
7.133369,285,301
7.200036,283,290
7.266703,285,299
7.3333699999999995,286,303
7.400036999999999,284,295
7.466704,285,298
7.533371,284,291
7.600038,283,291
7.666704999999999,285,298
7.733371999999999,284,294
7.800039,283,289
7.866706,285,300
7.933373,285,301
8.00004,283,289
8.066707,286,302
8.133374,283,288
8.200040999999999,285,299
8.266708,285,299
8.333375,284,293
8.400042,283,289
8.466709,285,296
8.533375999999999,285,302
8.600043,283,289
8.66671,284,293
8.733376999999999,285,299
8.800044,283,291
8.866710999999999,285,299
8.933378,285,301
9.000045,283,289
9.066711999999999,284,296
9.133379,286,301
9.200046,283,290
9.266713,284,293
9.33338,285,300
9.400046999999999,284,292
9.466714,285,298
9.533381,285,301
9.600048,283,290
9.666715,284,295
9.733381999999999,285,301
9.800049,283,290
9.866716,284,292
9.933383,285,299
10.00005,284,292
10.066716999999999,285,297
10.133384,285,300
10.200051,283,290
10.266718,285,297
10.333385,283,291
10.400051999999999,285,299
10.466719,285,299
10.533386,283,291
10.600052999999999,285,300
10.66672,283,291
10.733386999999999,284,294
10.800054,284,291
10.866721,285,298
10.933387999999999,284,294
11.000055,285,296
11.066721999999999,285,296
11.133389,284,294
11.200056,285,298
11.266722999999999,284,292
11.33339,285,299
11.400056999999999,284,294
11.466724,284,296
11.533391,285,300
11.600057999999999,285,296
11.666725,283,291
11.733392,284,293
11.800059,285,299
11.866726,285,298
11.933392999999999,284,292
12.00006,285,299
12.066727,284,294
12.133394,283,291
12.200061,284,295
12.266727999999999,285,299
12.333395,285,297
12.400062,284,292
12.466728999999999,284,293
12.533396,285,298
12.600062999999999,285,298
12.66673,284,293
12.733397,284,292
12.800063999999999,285,297
12.866731,285,299
12.933397999999999,284,295
13.000065,284,291
13.066732,285,299
13.133398999999999,284,293
13.200066,285,298
13.266732999999999,284,292
13.3334,284,295
13.400067,285,299
13.466733999999999,284,292
13.533401,285,298
13.600067999999998,284,294
13.666735,285,299
13.733402,285,296
13.800068999999999,284,294
13.866736,285,297
13.933402999999998,284,293
14.00007,285,297
14.066737,284,292
14.133403999999999,285,296
14.200071,285,296
14.266738,284,292
14.333404999999999,284,294
14.400072,285,297
14.466738999999999,284,293
14.533406,284,293
14.600073,285,297
14.666739999999999,285,298
14.733407,284,292
14.800073999999999,284,295
14.866741,285,296
14.933408,285,298
15.000074999999999,284,293
15.066742,285,297
15.133408999999999,284,295
15.200076,284,292
15.266743,285,298
15.333409999999999,284,293
15.400077,284,294
15.466743999999998,285,297
15.533411,284,294
15.600078,285,296
15.666744999999999,284,295
15.733412,284,295
15.800078999999998,284,294
15.866746,285,297
15.933413,284,294
16.00008,285,298
16.066747,284,295
16.133414,284,294
16.200081,285,298
16.266748,284,293
16.333415,285,297
16.400081999999998,284,294
16.466749,284,293
16.533416,285,298
16.600082999999998,284,294
16.66675,284,293
16.733417,285,297
16.800084,284,294
16.866751,284,293
16.933418,285,298
17.000085,284,293
17.066751999999997,285,297
17.133419,284,294
17.200086,285,296
17.266752999999998,284,295
17.33342,284,295
17.400087,284,293
17.466753999999998,284,294
17.533421,285,297
17.600088,284,293
17.666755,285,297
17.733421999999997,284,295
17.800089,284,293
17.866756,285,297
17.933422999999998,284,294
18.00009,284,296
18.066757,284,295
18.133423999999998,285,297
18.200091,285,296
18.266758,285,297
18.333425,285,297
18.400092,284,293
18.466759,285,297
18.533426,284,295
18.600092999999998,285,297
18.66676,285,297
18.733427,285,297
18.800093999999998,285,297
18.866761,284,293
18.933428,285,297
19.000094999999998,284,293
19.066762,285,297
19.133429,284,294
19.200096,284,294
19.266762999999997,285,297
19.33343,285,295
19.400097,285,296
19.466763999999998,284,293
19.533431,284,294
19.600098,284,294
19.666764999999998,284,294
19.733432,285,297
19.800099,284,295
19.866766,284,296
19.933432999999997,284,294
20.0001,285,297
20.066767,284,294
20.133433999999998,285,296
20.200101,284,293
20.266768,285,296
20.333434999999998,284,294
20.400102,285,297
20.466769,284,294
20.533436,284,294
20.600103,285,296
20.66677,284,294
20.733437,285,297
20.800103999999997,284,294
20.866771,285,297
20.933438,284,294
21.000104999999998,285,297
21.066772,284,294
21.133439,284,294
21.200105999999998,285,297
21.266773,284,294
21.33344,285,297
21.400107,284,294
21.466773999999997,284,295
21.533441,284,294
21.600108,285,296
21.666774999999998,284,295
21.733442,284,295
21.800109,285,296
21.866775999999998,284,294
21.933443,285,297
22.00011,284,294
22.066777,285,297
22.133443999999997,285,296
22.200111,285,296
22.266778,285,296
22.333444999999998,284,296
22.400112,284,295
22.466779,284,294
22.533445999999998,285,297
22.600113,284,294
22.66678,285,297
22.733446999999998,284,294
22.800113999999997,285,297
22.866781,284,294
22.933448,285,297
23.000114999999997,284,294
23.066782,285,296
23.133449,284,294
23.200115999999998,285,296
23.266783,284,294
23.33345,285,297
23.400116999999998,284,294
23.466784,285,296
23.533451,284,294
23.600118,285,296
23.666784999999997,284,295
23.733452,284,295
23.800119,285,296
23.866785999999998,285,296
23.933453,284,294
24.00012,284,295
24.066786999999998,285,296
24.133454,284,295
24.200121,284,294
24.266788,285,296
24.333454999999997,284,295
24.400122,284,294
24.466789,284,295
24.533455999999997,285,296
24.600123,285,296
24.66679,284,295
24.733456999999998,285,296
24.800124,285,296
24.866791,284,295
24.933457999999998,284,294
25.000124999999997,285,296
25.066792,285,296
25.133459,284,295
25.200125999999997,284,294
25.266793,284,295
25.33346,285,296
25.400126999999998,284,296
25.466794,284,295
25.533461,285,296
25.600127999999998,284,295
25.666795,284,294
25.733462,285,295
25.800129,285,296
25.866795999999997,285,295
25.933463,284,294
26.00013,284,295
26.066796999999998,285,296
26.133464,285,296
26.200131,284,294
26.266797999999998,284,294
26.333465,285,296
26.400132,284,295
26.466798999999998,284,294
26.533465999999997,284,295
26.600133,285,296
26.6668,285,296
26.733466999999997,284,295
26.800134,285,296
26.866801,284,295
26.933467999999998,285,296
27.000135,285,296
27.066802,284,294
27.133468999999998,284,295
27.200135999999997,285,296
27.266803,284,294
27.33347,284,295
27.400136999999997,285,296
27.466804,284,295
27.533471,285,296
27.600137999999998,284,294
27.666805,285,296
27.733472,284,295
27.800138999999998,285,296
27.866805999999997,284,294
27.933473,284,295
28.00014,284,295
28.066806999999997,284,296
28.133474,284,294
28.200141,285,296
28.266807999999997,284,294
28.333475,285,295
28.400142,284,294
28.466808999999998,285,296
28.533476,284,295
28.600143,285,296
28.666809999999998,284,295
28.733476999999997,285,295
28.800144,285,295
28.866811,284,295
28.933477999999997,285,296
29.000145,285,296
29.066812,284,295
29.133478999999998,284,295
29.200146,285,296
29.266813,284,295
29.333479999999998,284,295
29.400146999999997,285,296
29.466814,285,296
29.533481,284,295
29.600147999999997,284,294
29.666815,284,295
29.733482,285,296
29.800148999999998,284,295
29.866816,284,295
29.933483,285,296
30.000149999999998,285,296
30.066816999999997,284,295
30.133484,284,295
30.200150999999998,284,295
30.266817999999997,285,296
30.333485,285,295
30.400152,284,295
30.466818999999997,285,296
30.533486,285,296
30.600153,284,295
30.666819999999998,285,296
30.733487,285,296
30.800154,285,295
30.866820999999998,284,295
30.933487999999997,284,295
31.000155,285,296
31.066822,285,296
31.133488999999997,284,295
31.200156,284,295
31.266823,285,296
31.333489999999998,285,296
31.400157,284,295
31.466824,285,296
31.533490999999998,284,295
31.600157999999997,284,295
31.666825,285,296
31.733492,285,295
31.800158999999997,284,295
31.866826,285,296
31.933493,285,296
32.00016,284,295
32.066826999999996,284,295
32.133494,285,295
32.200161,285,296
32.266828,285,295
32.333495,284,295
32.400162,285,296
32.466829,284,295
32.533496,284,295
32.600162999999995,285,296
32.66683,285,296
32.733497,284,295
32.800163999999995,285,295
32.866831,285,296
32.933498,285,296
33.000164999999996,284,295
33.066832,285,296
33.133499,284,295
33.200165999999996,284,295
33.266833,284,295
33.3335,284,295
33.400166999999996,285,296
33.466834,284,295
33.533501,285,296
33.600168,284,295
33.666835,284,295
33.733502,284,295
33.800169,285,296
33.866836,284,295
33.933503,284,295
34.00017,285,296
34.066837,284,295
34.133503999999995,285,296
34.200171,284,295
34.266838,285,296
